time,object temperature,ambient temperature
6838.722000000001,28.817578125000004,19.0
6840.895,28.809375000000003,19.0
6843.068,28.80703125,19.0
6845.24,28.8125,19.0
6847.4130000000005,28.81796875,19.0
6849.586,28.810156250000002,19.0
6851.758,28.809765625,19.0
6853.9310000000005,28.803515625000003,19.0
6856.104,28.79335937500001,19.0
6858.276,28.781250000000007,19.0
6860.448,28.769140625000006,19.0
6862.621,28.758984375000004,19.0
6864.793000000001,28.752734375000003,19.0
6866.966,28.752343750000005,19.0
6869.139,28.74453125,19.0
6871.312,28.750000000000007,19.0
6873.484,28.750000000000007,19.0
6875.657,28.750000000000007,19.0
6877.83,28.755468750000006,19.0
6880.002,28.753125000000004,19.0
6882.175,28.739453125000004,19.0
6884.348,28.729687500000004,19.0
6886.52,28.729296875000003,19.0
6888.692,28.725,19.0
6890.865,28.71875,19.0
6893.037,28.7125,19.0
6895.21,28.708203125,19.0
6897.383,28.707812500000003,19.0
6899.555,28.703515625,19.0
6901.728,28.682031250000005,19.0
6903.901,28.673828125000004,19.0
6906.0740000000005,28.675390625,19.0
6908.246,28.673437500000002,19.0
6910.419,28.673437500000002,19.0
6912.592000000001,28.680859375,19.0
6914.763,28.676953125000004,19.0
6916.936000000001,28.682421875000003,19.0
6919.109,28.683984375000005,19.0
6921.281,28.66835937500001,19.0
6923.454000000001,28.656250000000007,19.0
6925.627,28.644140625000006,19.0
6927.8,28.633984375000004,19.0
6929.972000000001,28.627734375000003,19.0
6932.145,28.62734375000001,19.0
6934.318,28.61953125000001,19.0
6936.49,28.625000000000007,19.0
6938.6630000000005,28.625000000000007,19.0
6940.836,28.625000000000007,19.0
6943.008,28.625000000000007,19.0
6945.18,28.625000000000007,19.0
6947.353,28.630468750000006,19.0
6949.526,28.622656250000006,19.0
6951.698,28.622265625000004,19.0
6953.871,28.616015625000006,19.0
6956.044,28.605859375,19.0
6958.217000000001,28.593750000000004,19.0
6960.389,28.581640625000006,19.0
6962.562,28.571484375000004,19.0
6964.735000000001,28.565234375000003,19.0
6966.908,28.564843750000005,19.0
6969.08,28.557031250000005,19.0
6971.252,28.562500000000004,19.0
6973.425,28.562500000000004,19.0
6975.598,28.562500000000004,19.0
6977.77,28.562500000000004,19.0
6979.943,28.562500000000004,19.0
6982.116,28.567968750000002,19.0
6984.289000000001,28.560156250000002,19.0
6986.461,28.554296875000002,19.0
6988.634,28.550390625000006,19.0
6990.807,28.553906250000004,19.0
6992.9800000000005,28.551562500000003,19.0
6995.152,28.5453125,19.0
6997.325,28.537109375,19.0
6999.497,28.52890625,19.0
7001.67,28.522656249999997,19.0
7003.842000000001,28.505078125000004,19.0
7006.015,28.496875000000003,19.0
7008.188,28.49453125,19.0
7010.361,28.5,19.0
7012.533,28.5,19.0
7014.706,28.5,19.0
7016.879,28.50546875,19.0
7019.052000000001,28.503125,19.0
7021.224,28.489453125000004,19.0
7023.397,28.485156250000003,19.0
7025.570000000001,28.476953125000005,19.0
7027.742,28.466796875000007,19.0
7029.914000000001,28.456640625000006,19.0
7032.087,28.448437500000004,19.0
7034.26,28.444140625000003,19.0
7036.433,28.445703125000005,19.0
7038.6050000000005,28.439843750000005,19.0
7040.778,28.43203125,19.0
7042.951,28.437500000000007,19.0
7045.124,28.437500000000007,19.0
7047.296,28.437500000000007,19.0
7049.469,28.437500000000007,19.0
7051.642,28.437500000000007,19.0
7053.8150000000005,28.437500000000007,19.0
7055.987,28.442968750000006,19.0
7058.159000000001,28.440625000000004,19.0
7060.332,28.432421875000003,19.0
7062.505,28.4203125,19.0
7064.678,28.40078125,19.0
7066.85,28.39453125,19.0
7069.023,28.388281250000002,19.0
